,PB Ratio,EBITDA to EV,PE Ratio,Dividend Yield,Price to Cashflow,Net Debt Change,VC2_Score
DOV,6.084642965436696,0.06415696795600707,26.92,0.01747302149049426,3.3288730258517506e-07,0.13231852793258794,58.07365439093485
KNL,3.3032835520302593,0.08812237880744361,15.7,0.02567419016616558,6.074648113472856e-07,-0.4176988477732806,58.35694050991501
TKR,2.601128147868248,0.10778902529947643,13.57,0.021092744831478494,3.669401709770282e-07,-0.3176902119775306,58.640226628895185
UTX,3.4534623039397188,0.05426876459925241,25.35,0.01977192291278533,6.081033706170163e-08,-0.2859570713126382,58.92351274787535
MMM,10.39756316249238,0.08412082368869118,21.47,0.03286695010304835,8.654054178353177e-08,-0.01566393820679646,59.20679886685553
NPO,1.5762630090981242,0.13020876644410911,101.2,0.01635349536523595,8.357206113644657e-07,0.11021591657774134,59.490084985835686
AVAV,3.557797290888286,0.03490406528946422,43.2,,1.4321836704863083e-05,0.3447868457877696,59.773371104815865
APOG,1.7756333314905655,0.1131136344202218,23.9,0.021247335434625713,9.302028203339802e-07,-0.11516495769581722,60.05665722379604
PKE,2.1493738357158434,0.0520239594037304,37.66,0.0262509524014562,4.986235374039146e-06,0.1334740890203365,60.3399433427762
SKYW,1.5892208404024848,0.1417417821038899,9.62,0.007612441671832491,2.830469309026771e-07,-0.16491130419589883,60.62322946175638
LII,-64.18252251157996,0.05528634164562195,25.55,0.012019763606886032,1.0021968449484688e-06,-0.07286496768393037,60.90651558073654
CSL,3.496600407528385,0.07345196480001003,20.16,0.011253221176086702,5.44148080485045e-07,0.05882031806367654,61.18980169971672
GTLS,2.6594851565161344,0.05299855495392103,45.96,,1.1127632338472971e-06,-0.06496959840009087,61.47308781869688
AZZ,1.931487782510438,0.09112708327829971,16.94,0.01614224508144744,1.2835967033177766e-06,-0.06721509025700052,61.756373937677054
CWST,-154.16223505153215,0.04695638445045196,332.14,,1.5166566229397185e-06,-0.14582983009186976,62.03966005665722
AJRD,9.93742752497896,0.07280455707976273,30.72,,8.357132388801024e-07,0.06737023624577577,62.3229461756374
ROLL,4.217997173132003,0.04289359435659697,37.31,,6.7431520436214095e-06,0.5936581381695595,62.606232294617556
UFPI,2.838464150125705,0.08313820137110162,17.97,0.007737296532036551,3.753575335864248e-07,-0.15581052966242617,62.889518413597735
POWL,1.7627589222580304,0.05685231910779574,52.76,0.02437906472490763,1.2372211949944326e-06,-0.22205038482575037,63.172804532577906
HI,3.028515217373641,0.12028383996703743,15.95,0.02926843489439429,4.287689240162215e-07,-0.23090510712797854,63.45609065155807
RTN,5.799557133583877,0.07731665347619937,20.22,0.0161857973282919,1.7858626443154276e-07,-0.010055962358226346,63.73937677053825
LYFT,6.155468870473849,-0.07700025225770449,-5.78,,1.0275777839302689e-06,-0.5222632475166376,64.02266288951841
PRIM,1.890706925747371,0.16806698927881722,13.18,0.01105149981846724,3.856851306844532e-07,-0.30882239067083034,64.30594900849859
